film,filmLabel,publication_date,country_of_originLabel,duration,genreLabel,image
http://www.wikidata.org/entity/Q18423,Roma,1972-10-26T00:00:00Z,Italy,128,drama film,http://commons.wikimedia.org/wiki/Special:FilePath/Federico%20Fellini%20-%20Roma.png
http://www.wikidata.org/entity/Q18423,Roma,1972-10-26T00:00:00Z,France,128,drama film,http://commons.wikimedia.org/wiki/Special:FilePath/Federico%20Fellini%20-%20Roma.png
http://www.wikidata.org/entity/Q18423,Roma,1972-10-26T00:00:00Z,Italy,128,comedy film,http://commons.wikimedia.org/wiki/Special:FilePath/Federico%20Fellini%20-%20Roma.png
http://www.wikidata.org/entity/Q18423,Roma,1972-10-26T00:00:00Z,France,128,comedy film,http://commons.wikimedia.org/wiki/Special:FilePath/Federico%20Fellini%20-%20Roma.png
http://www.wikidata.org/entity/Q18428,Amarcord,1973-01-01T00:00:00Z,Italy,127,drama film,http://commons.wikimedia.org/wiki/Special:FilePath/Amarcord%201.jpg
http://www.wikidata.org/entity/Q18428,Amarcord,1973-01-01T00:00:00Z,France,127,drama film,http://commons.wikimedia.org/wiki/Special:FilePath/Amarcord%201.jpg
http://www.wikidata.org/entity/Q18428,Amarcord,1974-03-22T00:00:00Z,Italy,127,drama film,http://commons.wikimedia.org/wiki/Special:FilePath/Amarcord%201.jpg
http://www.wikidata.org/entity/Q18428,Amarcord,1974-03-22T00:00:00Z,France,127,drama film,http://commons.wikimedia.org/wiki/Special:FilePath/Amarcord%201.jpg
http://www.wikidata.org/entity/Q18428,Amarcord,1973-01-01T00:00:00Z,Italy,127,comedy film,http://commons.wikimedia.org/wiki/Special:FilePath/Amarcord%201.jpg
http://www.wikidata.org/entity/Q18428,Amarcord,1973-01-01T00:00:00Z,France,127,comedy film,http://commons.wikimedia.org/wiki/Special:FilePath/Amarcord%201.jpg
http://www.wikidata.org/entity/Q18428,Amarcord,1974-03-22T00:00:00Z,Italy,127,comedy film,http://commons.wikimedia.org/wiki/Special:FilePath/Amarcord%201.jpg
http://www.wikidata.org/entity/Q18428,Amarcord,1974-03-22T00:00:00Z,France,127,comedy film,http://commons.wikimedia.org/wiki/Special:FilePath/Amarcord%201.jpg
http://www.wikidata.org/entity/Q18428,Amarcord,1973-01-01T00:00:00Z,Italy,127,art film,http://commons.wikimedia.org/wiki/Special:FilePath/Amarcord%201.jpg
http://www.wikidata.org/entity/Q18428,Amarcord,1973-01-01T00:00:00Z,France,127,art film,http://commons.wikimedia.org/wiki/Special:FilePath/Amarcord%201.jpg
http://www.wikidata.org/entity/Q18428,Amarcord,1974-03-22T00:00:00Z,Italy,127,art film,http://commons.wikimedia.org/wiki/Special:FilePath/Amarcord%201.jpg
http://www.wikidata.org/entity/Q18428,Amarcord,1974-03-22T00:00:00Z,France,127,art film,http://commons.wikimedia.org/wiki/Special:FilePath/Amarcord%201.jpg
http://www.wikidata.org/entity/Q18428,Amarcord,1973-01-01T00:00:00Z,Italy,127,coming-of-age fiction,http://commons.wikimedia.org/wiki/Special:FilePath/Amarcord%201.jpg
http://www.wikidata.org/entity/Q18428,Amarcord,1973-01-01T00:00:00Z,France,127,coming-of-age fiction,http://commons.wikimedia.org/wiki/Special:FilePath/Amarcord%201.jpg
http://www.wikidata.org/entity/Q18428,Amarcord,1974-03-22T00:00:00Z,Italy,127,coming-of-age fiction,http://commons.wikimedia.org/wiki/Special:FilePath/Amarcord%201.jpg
http://www.wikidata.org/entity/Q18428,Amarcord,1974-03-22T00:00:00Z,France,127,coming-of-age fiction,http://commons.wikimedia.org/wiki/Special:FilePath/Amarcord%201.jpg
http://www.wikidata.org/entity/Q18441,Intervista,1987-01-01T00:00:00Z,Italy,110,drama film,http://commons.wikimedia.org/wiki/Special:FilePath/Antonella%20Ponziani%20-%20Intervista.JPG
http://www.wikidata.org/entity/Q18441,Intervista,1987-11-12T00:00:00Z,Italy,110,drama film,http://commons.wikimedia.org/wiki/Special:FilePath/Antonella%20Ponziani%20-%20Intervista.JPG
http://www.wikidata.org/entity/Q18441,Intervista,1987-01-01T00:00:00Z,Italy,110,biographical film,http://commons.wikimedia.org/wiki/Special:FilePath/Antonella%20Ponziani%20-%20Intervista.JPG
http://www.wikidata.org/entity/Q18441,Intervista,1987-11-12T00:00:00Z,Italy,110,biographical film,http://commons.wikimedia.org/wiki/Special:FilePath/Antonella%20Ponziani%20-%20Intervista.JPG
http://www.wikidata.org/entity/Q18444,Lo vedi come sei... lo vedi come sei?,1939-01-01T00:00:00Z,Italy,75,comedy film,http://commons.wikimedia.org/wiki/Special:FilePath/Lo%20vedi%20come%20sei%20%28film%201939%29%20-%20Macario%20e%20Greta%20Gonda.jpg
http://www.wikidata.org/entity/Q19069,The Magnificent Seven,1960-01-01T00:00:00Z,United States of America,128,drama film,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Magnificent%20Seven%20cast%20publicity%20photo.jpg
